Category,Subcategory,Item,,,
Programming Languages,Popular & General-Purpose,Python,,,
Programming Languages,Popular & General-Purpose,Java,,,
Programming Languages,Popular & General-Purpose,JavaScript,,,
Programming Languages,Popular & General-Purpose,C,,,
Programming Languages,Popular & General-Purpose,C++,,,
Programming Languages,Popular & General-Purpose,C#,,,
Programming Languages,Popular & General-Purpose,Go (Golang),,,
Programming Languages,Popular & General-Purpose,Ruby,,,
Programming Languages,Popular & General-Purpose,Swift,,,
Programming Languages,Popular & General-Purpose,Kotlin,,,
Programming Languages,Popular & General-Purpose,Rust,,,
Programming Languages,Popular & General-Purpose,TypeScript,,,
Programming Languages,Popular & General-Purpose,PHP,,,
Programming Languages,Popular & General-Purpose,R,,,
Programming Languages,Popular & General-Purpose,Scala,,,
Programming Languages,Popular & General-Purpose,Perl,,,
Programming Languages,Scripting & Automation,Bash/Shell,,,
Programming Languages,Scripting & Automation,PowerShell,,,
Programming Languages,Scripting & Automation,Lua,,,
Programming Languages,Functional Programming,Haskell,,,
Programming Languages,Functional Programming,Erlang,,,
Programming Languages,Functional Programming,Elixir,,,
Programming Languages,Functional Programming,F#,,,
Programming Languages,Functional Programming,Clojure,,,
Programming Languages,Functional Programming,OCaml,,,
Programming Languages,Low-Level & Systems,Assembly (x86, ARM),,
Programming Languages,Low-Level & Systems,Zig,,,
Programming Languages,Low-Level & Systems,VHDL (Hardware),,,
Programming Languages,Low-Level & Systems,Verilog (Hardware),,,
Programming Languages,Web & Frontend,HTML/CSS,,,
Programming Languages,Web & Frontend,JavaScript (ES6+),,,
Programming Languages,Web & Frontend,TypeScript,,,
Programming Languages,Web & Frontend,WebAssembly (WASM),,,
Programming Languages,Database Query Languages,SQL (PostgreSQL, MySQL, SQLite, Oracle)
Programming Languages,Database Query Languages,NoSQL (MongoDB Query Language, Cassandra CQL),,
Programming Languages,Database Query Languages,GraphQL,,,
Frameworks & Libraries,Frontend Development,React.js,,,
Frameworks & Libraries,Frontend Development,Angular,,,
Frameworks & Libraries,Frontend Development,Vue.js,,,
Frameworks & Libraries,Frontend Development,Svelte,,,
Frameworks & Libraries,Frontend Development,Next.js (React SSR),,,
Frameworks & Libraries,Frontend Development,Nuxt.js (Vue SSR),,,
Frameworks & Libraries,Frontend Development,jQuery (Legacy),,,
Frameworks & Libraries,Frontend Development,Tailwind CSS / Bootstrap,,,
Frameworks & Libraries,Backend Development,Node.js (Express, NestJS, Fastify),
Frameworks & Libraries,Backend Development,Django (Python),,,
Frameworks & Libraries,Backend Development,Flask (Python),,,
Frameworks & Libraries,Backend Development,Spring Boot (Java),,,
Frameworks & Libraries,Backend Development,Ruby on Rails,,,
Frameworks & Libraries,Backend Development,Laravel (PHP),,,
Frameworks & Libraries,Backend Development,ASP.NET (C#),,,
Frameworks & Libraries,Backend Development,FastAPI (Python),,,
Frameworks & Libraries,Backend Development,Gin (Golang),,,
Frameworks & Libraries,Mobile Development,React Native,,,
Frameworks & Libraries,Mobile Development,Flutter (Dart),,,
Frameworks & Libraries,Mobile Development,SwiftUI (iOS),,,
Frameworks & Libraries,Mobile Development,Jetpack Compose (Android),,,
Frameworks & Libraries,Mobile Development,Xamarin (.NET),,,
Frameworks & Libraries,Game Development,Unity (C#),,,
Frameworks & Libraries,Game Development,Unreal Engine (C++, Blueprints),,
Frameworks & Libraries,Game Development,Godot (GDScript, C#),,
Frameworks & Libraries,AI/ML & Data Science,TensorFlow / Keras,,,
Frameworks & Libraries,AI/ML & Data Science,PyTorch,,,
Frameworks & Libraries,AI/ML & Data Science,Scikit-learn,,,
Frameworks & Libraries,AI/ML & Data Science,Pandas / NumPy,,,
Frameworks & Libraries,AI/ML & Data Science,OpenCV,,,
Frameworks & Libraries,AI/ML & Data Science,spaCy / NLTK (NLP),,,
Frameworks & Libraries,DevOps & Cloud,Docker / Kubernetes,,,
Frameworks & Libraries,DevOps & Cloud,Terraform,,,
Frameworks & Libraries,DevOps & Cloud,Ansible,,,
Frameworks & Libraries,DevOps & Cloud,Helm,,,
Frameworks & Libraries,DevOps & Cloud,Serverless Framework,,,
Databases & Storage,SQL (Relational Databases),PostgreSQL,,,
Databases & Storage,SQL (Relational Databases),MySQL,,,
Databases & Storage,SQL (Relational Databases),Microsoft SQL Server,,,
Databases & Storage,SQL (Relational Databases),Oracle DB,,,
Databases & Storage,SQL (Relational Databases),SQLite,,,
Databases & Storage,NoSQL (Non-Relational),MongoDB,,,
Databases & Storage,NoSQL (Non-Relational),Cassandra,,,
Databases & Storage,NoSQL (Non-Relational),Redis (In-memory),,,
Databases & Storage,NoSQL (Non-Relational),Firebase / Firestore,,,
Databases & Storage,NoSQL (Non-Relational),Neo4j (Graph DB),,,
Databases & Storage,NoSQL (Non-Relational),Elasticsearch (Search Engine),,,
Databases & Storage,Big Data & Analytics,Apache Hadoop,,,
Databases & Storage,Big Data & Analytics,Apache Spark,,,
Databases & Storage,Big Data & Analytics,Apache Kafka,,,
Databases & Storage,Big Data & Analytics,Snowflake,,,
Databases & Storage,Big Data & Analytics,BigQuery,,,
Operating Systems & Platforms,-,Linux (Ubuntu, CentOS, Arch),
Operating Systems & Platforms,-,Windows Server,,,
Operating Systems & Platforms,-,macOS,,,
Operating Systems & Platforms,-,Android,,,
Operating Systems & Platforms,-,iOS,,,
Operating Systems & Platforms,-,Embedded Systems (RTOS, FreeRTOS),,
Networking & Security,Networking,TCP/IP, HTTP/HTTPS, DNS,
Networking & Security,Networking,WebSockets,,,
Networking & Security,Networking,VPN, Proxy, Load Balancing,
Networking & Security,Networking,gRPC,,,
Networking & Security,Cybersecurity,Penetration Testing (Kali Linux),,,
Networking & Security,Cybersecurity,Cryptography (AES, RSA, SSL/TLS),
Networking & Security,Cybersecurity,OWASP Top 10 Security,,,
Networking & Security,Cybersecurity,Ethical Hacking,,,
Networking & Security,Cybersecurity,SIEM Tools (Splunk, Wazuh),,
Software Development Practices,-,Agile / Scrum,,,
